id,calories,carbs,fat
4001,840,115.0,24
4002,430,40.0,17
4003,280,27.0,11
4004,400,54.0,20
4005,510,73.0,22
4006,1150,99.0,61
4007,850,72.0,45
4008,540,45.0,29
4009,620,13.0,52
4010,310,7.0,26
4011,930,66.0,60
4012,1110,102.0,52
4013,810,75.0,38
4014,520,47.0,25
4015,1200,101.0,66
4016,880,74.0,48
4017,560,48.0,30
4018,750,60.0,36
4019,430,34.0,21
4020,510,56.0,29
4021,260,28.0,14
4022,820,109.0,37
4023,1080,114.0,46
4024,770,81.0,33
4025,480,51.0,21
4026,720,27.0,56
4027,360,14.0,28
4028,1030,80.0,64
4029,790,3.0,45
4030,480,2.0,28
4031,550,18.0,50
4032,350,10.0,32
4033,860,71.0,58
4034,1020,98.0,57
4035,760,75.0,41
4036,480,47.0,25
4037,260,31.0,10
4038,340,66.0,8
4039,1250,104.0,72
4040,950,77.0,56
4041,360,28.0,21
4042,590,48.0,35
4043,770,18.0,63
4044,390,9.0,32
4045,1080,71.0,71
4046,1190,99.0,53
4047,850,72.0,38
4048,510,45.0,24
4049,330,27.0,19
4050,740,15.0,62
4051,370,7.0,31
4052,1050,68.0,70
4053,1110,99.0,57
4054,810,72.0,42
4055,520,45.0,26
4056,1080,98.0,43
4057,770,71.0,31
4058,450,44.0,18
4059,1110,99.0,57
4060,890,80.0,45
4061,560,50.0,28
4062,190,26.0,9
4063,250,24.0,12
4064,610,61.0,25
4065,360,35.0,15
4066,980,99.0,44
4067,720,72.0,32
4068,450,45.0,20
4069,260,29.0,11
4070,1160,106.0,57
4071,850,77.0,42
4072,540,49.0,27
4073,250,25.0,10
4074,500,68.0,24
4075,990,98.0,42
4076,730,71.0,31
4077,470,45.0,20
4078,1029,69.0,59
4079,202,31.0,0
4080,350,39.0,0
4081,1315,60.0,98
4082,812,64.0,44
4083,1117,83.0,67
4084,726,40.0,37
4085,381,40.0,17
4086,353,66.0,0
4087,376,49.0,18
4088,686,52.0,33
4089,1001,70.0,57
4090,763,56.0,44
4091,671,55.0,30
4092,1696,100.0,121
4093,931,54.0,60
4094,851,69.0,43
4095,829,53.0,43
4096,295,36.0,12
4097,420,42.0,22
4098,260,43.0,0
4099,152,0.0,4
4100,372,19.0,22
4101,568,33.0,26
4102,676,52.0,29
4103,414,32.0,20
4104,207,16.0,10
4105,1370,109.0,88
4106,695,50.0,43
4107,347,25.0,22
4108,1440,139.0,84
4109,471,73.0,18
4110,378,59.0,15
4111,509,83.0,18
4112,437,71.0,16
4113,1230,91.0,73
4114,410,28.0,25
4115,479,66.0,24
4116,240,40.0,0
4117,471,73.0,18
4118,378,59.0,15
4119,666,99.0,18
4120,271,33.0,15
4121,586,83.0,27
4122,426,62.0,18
4123,334,48.0,15
4124,414,60.0,18
4125,323,45.0,15
4126,1452,100.0,92
4127,1067,69.0,70
4128,252,23.0,18
4129,1117,101.0,60
4130,608,62.0,29
4131,912,70.0,54
4132,1450,86.0,97
4133,360,47.0,0
4134,579,24.0,36
4135,720,24.0,38
4136,280,31.0,0
4137,126,32.0,0
4138,68,17.0,0
4139,508,45.0,25
4140,254,22.0,13
4141,479,74.0,13
4142,169,18.0,0
4143,390,74.0,0
4144,274,45.0,0
4145,463,67.0,0
4146,174,20.0,0
4147,203,25.0,0
4148,934,54.0,60
4149,430,31.0,29
4150,646,35.0,34
4151,569,52.0,22
4152,642,50.0,37
4153,314,76.0,2
4154,780,87.0,46
4155,1052,56.0,64
4156,431,100.0,3
4157,784,165.0,13
4158,800,111.0,36
4159,115,10.0,3
4160,1256,148.0,56
4161,603,48.0,33
4162,670,42.0,50
4163,773,49.0,61
4164,725,50.0,56
4165,320,44.0,12
4166,653,71.0,38
4167,435,15.0,39
4168,453,56.0,15
4169,938,77.0,53
4170,1136,78.0,60
4171,313,38.0,11
4172,725,50.0,56
4173,20,8.0,0
4174,471,73.0,18
4175,378,59.0,15
4176,509,83.0,18
4177,274,39.0,9
4178,437,71.0,16
4179,80,21.0,0
4180,31,8.0,0
4181,28,7.0,0
4182,61,15.0,0
4183,220,16.0,12
4184,479,66.0,24
4185,471,73.0,18
4186,378,59.0,15
4187,666,99.0,18
4188,271,33.0,15
4189,586,83.0,27
4190,138,30.0,3
4191,300,6.0,30
4192,20,4.0,0
4193,38,7.0,1
4194,217,30.0,9
4195,426,62.0,18
4196,334,48.0,15
4197,122,30.0,0
4198,376,49.0,18
4199,414,60.0,18
4200,323,45.0,15
4201,207,49.0,2
4202,300,69.0,2
4203,112,29.0,0
4204,422,8.0,27
4205,61,15.0,0
4206,648,43.0,44
4207,800,43.0,47
4208,790,43.0,48
4209,800,43.0,47
4210,865,43.0,51
4211,815,129.0,30
4212,904,148.0,31
4213,815,129.0,30
4214,1105,168.0,30
4215,749,113.0,30
4216,757,113.0,31
4217,883,127.0,40
4218,646,99.0,27
4219,735,118.0,28
4220,848,120.0,42
4221,646,99.0,27
4222,936,138.0,27
4223,579,83.0,27
4224,588,83.0,28
4225,1373,184.0,63
4226,1963,132.0,129
4227,2090,133.0,131
4228,571,52.0,24
4229,280,24.0,0
4230,291,48.0,0
4231,576,83.0,0
4232,191,22.0,0
4233,251,36.0,0
4234,197,24.0,0
4235,395,73.0,0
4236,427,43.0,24
4237,255,45.0,0
4238,103,26.0,0
4239,180,19.0,0
4240,96,23.0,0
4241,1008,74.0,55
4242,957,57.0,55
4243,302,28.0,6
4244,282,40.0,6
4245,286,28.0,12
4246,403,29.0,22
4247,289,39.0,4
4248,550,82.0,0
4249,103,26.0,0
4250,1036,52.0,69
4251,434,60.0,18
4252,297,56.0,2
4253,605,58.0,27
4254,551,26.0,32
4255,276,13.0,16
4256,690,58.0,35
4257,1139,87.0,69
4258,1126,52.0,83
4259,1076,4.0,84
4260,357,51.0,0
4261,961,58.0,56
4262,280,32.0,0
4263,313,21.0,21
4264,567,45.0,22
4265,420,51.0,8
4266,1170,128.0,45
4267,870,43.0,55
4268,1030,128.0,42
4269,30,6.0,0
4270,40,9.0,0
4271,225,35.0,0
4272,240,29.0,0
4273,240,28.0,0
4274,900,65.0,47
4275,1037,68.0,62
4276,1770,171.0,112
4277,1921,121.0,117
4278,180,2.0,0
4279,280,4.0,15
4280,100,1.0,1
4281,880,14.0,79
4282,230,21.0,11
4283,5,1.0,0
4284,800,53.0,46
4285,560,4.0,59
4286,150,11.0,0
4287,120,7.0,0
4288,680,23.0,56
4289,200,14.0,0
4290,130,31.0,0
4291,430,20.0,25
4292,10,2.0,0
4293,460,30.0,34
4294,420,11.0,39
4295,160,8.0,13
4296,850,58.0,51
4297,15,3.0,0
4298,340,61.0,6
4299,340,55.0,11
4300,480,10.0,40
4301,920,62.0,61
4302,1260,101.0,68
4303,460,56.0,15
4304,930,111.0,31
4305,780,39.0,68
4306,810,61.0,35
4307,940,74.0,57
4308,1180,55.0,81
4309,380,25.0,20
4310,650,58.0,37
4311,470,22.0,32
4312,1440,24.0,115
4313,0,0.0,0
4314,140,36.0,0
4315,820,41.0,72
4316,790,20.0,66
4317,950,76.0,56
4318,910,115.0,33
4319,450,91.0,4
4320,1180,91.0,73
4321,1470,94.0,88
4322,1350,91.0,87
4323,1670,77.0,113
4324,110,9.0,8
4325,5,1.0,0
4326,270,14.0,20
4327,260,36.0,12
4328,290,40.0,12
4329,150,36.0,2
4330,400,91.0,2
4331,360,42.0,18
4332,350,43.0,6
4333,410,38.0,11
4334,1110,71.0,68
4335,380,41.0,9
4336,460,31.0,31
4337,300,26.0,13
4338,990,114.0,56
4339,290,33.0,0
4340,430,2.0,39
4341,1100,100.0,52
4342,720,46.0,38
4343,580,65.0,33
4344,440,28.0,12
4345,440,28.0,12
4346,110,7.0,0
4347,170,47.0,0
4348,710,39.0,41
4349,630,66.0,29
4350,990,45.0,78
4351,1510,96.0,98
4352,440,52.0,0
4353,840,101.0,31
4354,480,11.0,37
4355,1010,33.0,71
4356,150,4.0,16
4357,150,46.0,0
4358,1190,95.0,70
4359,960,91.0,55
4360,900,52.0,62
4361,760,61.0,52
4362,1370,58.0,91
4363,570,29.0,36
4364,400,2.0,37
4365,790,61.0,57
4366,930,53.0,58
4367,1550,99.0,104
4368,1320,118.0,58
4369,1010,111.0,42
4370,480,89.0,6
4371,450,91.0,4
4372,1160,110.0,49
4373,440,48.0,17
4374,290,4.0,3
4375,1140,103.0,55
4376,560,31.0,22
4377,130,31.0,0
4378,190,16.0,12
4379,190,16.0,12
4380,190,15.0,10
4381,980,97.0,41
4382,320,45.0,27
4383,740,62.0,45
4384,290,9.0,19
4385,450,91.0,4
4386,290,3.0,16
4387,1060,83.0,50
4388,220,18.0,10
4389,220,18.0,10
4390,25,1.0,2
4391,5,2.0,0
4392,15,1.0,1
4393,600,52.0,25
4394,260,2.0,18
4395,1030,36.0,80
4396,0,0.0,0
4397,170,14.0,8
4398,170,14.0,8
4399,180,0.0,15
4400,900,57.0,60
4401,650,41.0,47
4402,160,8.0,13
4403,110,9.0,8
4404,700,59.0,48
4405,1180,77.0,66
4406,10,2.0,0
4407,160,39.0,0
4408,390,35.0,0
4409,340,61.0,6
4410,420,48.0,16
4411,460,51.0,23
4412,310,46.0,9
4413,1240,92.0,66
4414,370,17.0,29
4415,640,21.0,66
4416,690,54.0,48
4417,1320,81.0,73
4418,340,17.0,25
4419,130,31.0,0
4420,530,52.0,23
4421,1060,105.0,46
4422,490,88.0,7
4423,910,83.0,46
4424,150,5.0,0
4425,840,81.0,51
4426,1017,60.0,65
4427,401,3.0,20
4428,401,3.0,20
4429,61,1.0,1
4430,244,4.0,4
4431,115,12.0,5
4432,417,14.0,25
4433,506,16.0,29
4434,936,56.0,47
4435,968,57.0,61
4436,1007,58.0,67
4437,376,14.0,24
4438,1503,57.0,95
4439,712,41.0,40
4440,465,32.0,28
4441,259,52.0,2
4442,259,52.0,2
4443,418,54.0,17
4444,295,16.0,4
4445,390,25.0,9
4446,1007,58.0,58
4447,1262,23.0,53
4448,148,5.0,0
4449,162,28.0,3
4450,162,28.0,3
4451,265,5.0,10
4452,541,77.0,23
4453,918,129.0,40
4454,607,14.0,53
4455,1066,28.0,90
4456,1165,82.0,72
4457,1204,73.0,79
4458,466,17.0,39
4459,202,35.0,5
4460,202,35.0,5
4461,888,70.0,49
4462,763,89.0,36
4463,930,76.0,44
4464,1101,52.0,46
4465,325,45.0,16
4466,564,5.0,29
4467,1521,96.0,92
4468,1674,80.0,96
4469,1253,88.0,64
4470,405,8.0,18
4471,405,8.0,18
4472,500,17.0,23
4473,898,70.0,48
4474,397,10.0,19
4475,113,4.0,5
4476,1053,86.0,41
4477,200,22.0,8
4478,180,24.0,9
4479,500,29.0,24
4480,947,58.0,61
4481,300,14.0,20
4482,1099,17.0,47
4483,1137,194.0,34
4484,136,14.0,8
4485,136,14.0,8
4486,136,14.0,8
4487,240,0.0,10
4488,240,0.0,10
4489,335,9.0,15
4490,1220,179.0,53
4491,806,73.0,35
4492,813,114.0,36
4493,402,2.0,21
4494,178,4.0,11
4495,288,18.0,14
4496,396,55.0,18
4497,701,58.0,39
4498,78,5.0,5
4499,78,5.0,5
4500,45,5.0,2
4501,45,5.0,2
4502,45,5.0,2
4503,41,4.0,2
4504,41,4.0,2
4505,41,4.0,2
4506,293,28.0,19
4507,53,7.0,2
4508,53,7.0,2
4509,53,7.0,2
4510,53,7.0,2
4511,203,9.0,0
4512,203,9.0,0
4513,203,8.0,0
4514,195,12.0,0
4515,195,12.0,0
4516,199,8.0,0
4517,199,8.0,0
4518,206,16.0,0
4519,206,16.0,0
4520,203,8.0,0
4521,101,10.0,4
4522,110,12.0,5
4523,110,12.0,5
4524,795,48.0,28
4525,795,48.0,28
4526,463,43.0,17
4527,291,0.0,17
4528,386,9.0,22
4529,142,10.0,2
4530,142,10.0,2
4531,94,9.0,3
4532,94,9.0,3
4533,142,9.0,2
4534,137,9.0,2
4535,137,9.0,2
4536,142,10.0,2
4537,142,10.0,2
4538,142,9.0,2
4539,401,11.0,24
4540,40,10.0,0
4541,990,110.0,56
4542,625,99.0,12
4543,736,62.0,43
4544,96,4.0,7
4545,385,15.0,29
4546,81,0.0,6
4547,161,0.0,13
4548,242,0.0,19
4549,779,58.0,46
4550,282,19.0,11
4551,434,27.0,21
4552,464,18.0,33
4553,444,41.0,23
4554,664,76.0,31
4555,680,61.0,37
4556,469,86.0,7
4557,405,72.0,7
4558,59,16.0,0
4559,27,7.0,0
4560,112,11.0,7
4561,392,53.0,19
4562,679,58.0,36
4563,541,33.0,35
4564,315,37.0,13
4565,621,62.0,34
4566,560,47.0,29
4567,568,54.0,28
4568,1406,80.0,95
4569,521,32.0,29
4570,560,47.0,29
4571,1090,80.0,62
4572,460,6.0,29
4573,949,79.0,57
4574,934,72.0,54
4575,365,2.0,19
4576,365,2.0,19
4577,365,2.0,19
4578,736,84.0,60
4579,342,37.0,19
4580,1418,111.0,77
4581,1065,88.0,54
4582,1001,75.0,54
4583,152,9.0,0
4584,152,9.0,0
4585,443,24.0,15
4586,443,24.0,15
4587,397,25.0,21
4588,397,25.0,21
4589,284,18.0,14
4590,284,18.0,14
4591,377,23.0,10
4592,377,23.0,10
4593,279,18.0,16
4594,279,18.0,16
4595,678,54.0,36
4596,678,54.0,36
4597,382,3.0,22
4598,462,3.0,28
4599,903,35.0,51
4600,494,3.0,25
4601,494,3.0,25
4602,476,12.0,27
4603,398,20.0,21
4604,398,20.0,21
4605,177,17.0,9
4606,177,17.0,9
4607,397,38.0,19
4608,397,38.0,19
4609,226,0.0,4
4610,289,3.0,12
4611,291,0.0,17
4612,375,4.0,15
4613,94,13.0,2
4614,94,13.0,2
4615,317,28.0,20
4616,285,45.0,11
4617,912,7.0,71
4618,54,6.0,3
4619,54,6.0,3
4620,105,15.0,2
4621,105,15.0,2
4622,915,78.0,53
4623,877,57.0,55
4624,434,7.0,27
4625,140,6.0,10
4626,320,43.0,9
4627,410,45.0,16
4628,470,48.0,21
4629,430,48.0,17
4630,370,45.0,11
4631,580,47.0,31
4632,500,51.0,17
4633,290,46.0,4
4634,390,45.0,13
4635,450,46.0,17
4636,490,46.0,22
4637,570,47.0,28
4638,410,53.0,9
4639,550,53.0,26
4640,360,46.0,12
4641,360,44.0,12
4642,320,44.0,8
4643,350,45.0,9
4644,380,47.0,13
4645,580,60.0,26
4646,410,46.0,16
4647,480,59.0,18
4648,320,47.0,5
4649,320,45.0,5
4650,480,46.0,24
4651,520,46.0,28
4652,400,46.0,11
4653,430,49.0,14
4654,500,51.0,16
4655,380,48.0,10
4656,430,47.0,15
4657,390,47.0,10
4658,310,46.0,4
4659,370,47.0,11
4660,430,48.0,13
4661,470,48.0,17
4662,370,57.0,4
4663,480,44.0,25
4664,280,46.0,3
4665,280,46.0,4
4666,430,48.0,18
4667,380,52.0,8
4668,230,44.0,2
4669,390,46.0,13
4670,350,46.0,9
4671,35,9.0,0
4672,250,23.0,8
4673,260,16.0,19
4674,240,23.0,12
4675,220,23.0,9
4676,190,21.0,7
4677,210,21.0,9
4678,350,17.0,24
4679,400,12.0,29
4680,330,17.0,16
4681,200,32.0,8
4682,180,30.0,2
4683,110,12.0,3
4684,200,22.0,8
4685,180,22.0,5
4686,230,22.0,10
4687,250,22.0,12
4688,390,42.0,16
4689,270,25.0,8
4690,100,12.0,1
4691,220,23.0,3
4692,350,17.0,24
4693,300,15.0,18
4694,300,15.0,18
4695,220,30.0,10
4696,220,30.0,10
4697,200,20.0,11
4698,150,20.0,4
4699,180,16.0,10
4700,220,10.0,4
4701,210,30.0,9
4702,190,21.0,7
4703,170,21.0,5
4704,200,23.0,8
4705,200,23.0,8
4706,510,26.0,36
4707,200,32.0,7
4708,150,15.0,7
4709,90,14.0,2
4710,220,23.0,11
4711,210,32.0,10
4712,90,17.0,1
4713,200,30.0,8
4714,140,10.0,2
4715,220,26.0,12
4716,500,43.0,26
4717,150,18.0,7
4718,200,29.0,9
4719,200,30.0,3
4720,140,11.0,3
4721,490,43.0,25
4722,380,13.0,31
4723,260,13.0,14
4724,300,17.0,16
4725,270,16.0,10
4726,190,22.0,6
4727,210,22.0,8
4728,140,12.0,3
4729,220,28.0,12
4730,220,23.0,8
4731,240,23.0,10
4732,230,32.0,3
4733,110,12.0,2
4734,180,30.0,2
4735,110,12.0,2
4736,250,13.0,16
4737,230,23.0,7
4738,90,15.0,2
4739,150,29.0,1
4740,60,10.0,1
4741,410,44.0,17
4742,220,29.0,11
4743,540,59.0,26
4744,460,53.0,18
4745,510,69.0,19
4746,370,56.0,11
4747,370,56.0,11
4748,550,68.0,22
4749,550,68.0,22
4750,310,75.0,0
4751,250,62.0,0
4752,420,53.0,16
4753,400,52.0,12
4754,390,52.0,13
4755,310,39.0,15
4756,310,39.0,15
4757,370,29.0,21
4758,360,29.0,21
4759,390,31.0,24
4760,480,40.0,27
4761,190,18.0,9
4762,190,18.0,9
4763,290,32.0,17
4764,490,39.0,29
4765,280,29.0,17
4766,280,29.0,17
4767,180,44.0,0
4768,270,66.0,0
4769,530,41.0,28
4770,180,18.0,6
4771,380,41.0,17
4772,380,41.0,17
4773,170,26.0,7
4774,170,26.0,7
4775,150,39.0,0
4776,230,60.0,0
4777,270,31.0,13
4778,270,31.0,13
4779,540,71.0,21
4780,170,12.0,10
4781,170,12.0,10
4782,200,15.0,12
4783,170,13.0,9
4784,200,15.0,11
4785,320,37.0,14
4786,350,40.0,16
4787,340,32.0,14
4788,330,32.0,14
4789,360,34.0,17
4790,580,59.0,29
4791,580,59.0,29
4792,780,74.0,42
4793,730,70.0,35
4794,720,70.0,36
4795,350,57.0,9
4796,350,57.0,9
4797,350,50.0,8
4798,340,50.0,9
4799,150,18.0,3
4800,150,18.0,3
4801,150,13.0,8
4802,150,13.0,8
4803,150,19.0,4
4804,180,20.0,7
4805,270,29.0,10
4806,270,29.0,11
4807,300,31.0,14
4808,430,48.0,18
4809,250,19.0,14
4810,300,75.0,0
4811,250,62.0,0
4812,540,47.0,31
4813,120,20.0,3
4814,270,21.0,14
4815,330,31.0,20
4816,780,79.0,43
4817,440,42.0,25
4818,180,20.0,7
4819,230,22.0,11
4820,200,19.0,9
4821,200,19.0,9
4822,520,41.0,28
4823,280,70.0,0
4824,230,57.0,0
4825,250,30.0,10
4826,780,80.0,41
4827,990,89.0,61
4828,990,89.0,61
4829,230,14.0,16
4830,880,95.0,42
4831,840,92.0,35
4832,820,92.0,36
4833,490,36.0,26
4834,910,51.0,59
4835,240,18.0,13
4836,190,20.0,6
4837,148,11.0,6
4838,60,7.0,2
4839,170,12.0,9
4840,150,12.0,6
4841,200,19.0,9
4842,180,19.0,6
4843,210,21.0,9
4844,440,71.0,10
4845,604,67.0,29
4846,772,57.0,46
4847,523,42.0,32
4848,510,41.0,29
4849,210,12.0,12
4850,496,49.0,25
4851,1567,127.0,97
4852,759,58.0,48
4853,358,32.0,21
4854,823,49.0,51
4855,245,18.0,14
4856,190,18.0,9
4857,190,18.0,9
4858,1043,58.0,75
4859,490,70.0,15
4860,90,18.0,0
4861,180,36.0,0
4862,572,47.0,35
4863,709,48.0,42
4864,210,24.0,11
4865,607,53.0,30
4866,477,43.0,26
4867,170,12.0,9
4868,387,40.0,18
4869,1505,128.0,90
4870,713,59.0,43
4871,327,33.0,18
4872,761,50.0,44
4873,184,19.0,8
4874,180,18.0,7
4875,180,18.0,7
4876,838,53.0,57
4877,237,19.0,11
4878,117,11.0,6
4879,140,31.0,0
4880,280,63.0,0
4881,564,54.0,29
4882,210,19.0,8
4883,230,20.0,11
4884,219,23.0,11
4885,219,23.0,11
4886,560,37.0,32
4887,310,19.0,20
4888,469,83.0,12
4889,1086,105.0,62
4890,274,23.0,15
4891,457,49.0,22
4892,348,39.0,14
4893,392,38.0,20
4894,374,43.0,18
4895,374,43.0,18
4896,143,5.0,10
4897,143,5.0,10
4898,460,47.0,22
4899,230,24.0,10
4900,280,18.0,22
4901,279,10.0,21
4902,634,60.0,34
4903,440,37.0,23
4904,250,19.0,15
4905,235,41.0,6
4906,317,30.0,17
4907,195,51.0,0
4908,325,85.0,0
4909,130,34.0,0
4910,401,32.0,24
4911,450,24.0,30
4912,430,23.0,28
4913,180,10.0,12
4914,170,9.0,11
4915,270,14.0,18
4916,260,14.0,17
4917,570,49.0,27
4918,340,28.0,18
4919,40,9.0,0
4920,670,57.0,32
4921,380,33.0,13
4922,240,20.0,10
4923,540,66.0,21
4924,940,41.0,56
4925,580,43.0,29
4926,310,25.0,14
4927,440,67.0,14
4928,250,18.0,17
4929,530,55.0,28
4930,300,54.0,6
4931,410,31.0,24
4932,350,34.0,19
4933,820,42.0,47
4934,580,42.0,31
4935,1090,43.0,66
4936,460,27.0,25
4937,200,19.0,13
4938,260,25.0,10
4939,510,54.0,20
4940,390,26.0,22
4941,290,26.0,13
4942,350,28.0,19
4943,260,25.0,10
4944,200,32.0,5
4945,200,32.0,5
4946,190,32.0,4
4947,290,26.0,13
4948,220,28.0,11
4949,250,25.0,10
4950,990,195.0,18
4951,270,31.0,8
4952,870,164.0,17
4953,500,65.0,24
4954,590,97.0,15
4955,780,149.0,15
4956,560,93.0,14
4957,410,52.0,20
4958,410,67.0,10
4959,390,65.0,10
4960,480,51.0,23
4961,650,121.0,14
4962,180,20.0,5
4963,580,104.0,0
4964,310,40.0,15
4965,290,48.0,7
4966,540,97.0,12
4967,280,46.0,7
4968,670,41.0,37
4969,320,63.0,3
4970,780,40.0,51
4971,440,28.0,27
4972,330,30.0,16
4973,510,55.0,20
4974,370,43.0,7
4975,220,28.0,11
4976,220,28.0,11
4977,290,53.0,6
